Land Area,Trade flow,Commodity,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Algeria,Export,Crustaceans,3591,4052,4415,4850,7089,9167,8867,8786,8074,5335,3584,4049,2771,2277,2849,2278
Algeria,Export,Fish,382,585,983,859,530,903,1677,1754,3154,2209,1357,443,1039,1755,1558,1486
Algeria,Import,Crustaceans,71,44,471,498,903,1178,796,1291,1407,2918,3135,4286,5138,6713,8239,7124
Algeria,Import,Fish,11990,13600,8206,15345,21798,19350,28950,25414,28891,49736,46003,52055,56841,81094,124682,99293
Angola,Export,Crustaceans,3425,4070,9755,2166,2347,9951,11648,7420,7876,7694,10559,6184,12125,14692,14774,16421
Angola,Export,Fish,4291,8007,6632,1937,1676,1522,6054,12913,25207,32468,28617,25652,44525,49679,49149,46693
Angola,Import,Crustaceans,95,156,399,287,277,718,889,1491,1127,3715,3030,4802,10197,5768,10838,5032
Angola,Import,Fish,16180,17751,17674,19950,31703,32338,59713,67985,121561,111642,119547,198178,331732,248574,306945,218737
Benin,Export,Crustaceans,1446,2337,3098,1862,627,945,1003,50,0,13,0,132,26,3,0,0
Benin,Export,Fish,21,13,15,30,25,0,141,334,33,79,1342,1130,347,373,919,243
Benin,Import,Crustaceans,11,3,42,1,0,163,228,0,1,0,1,8,28,13,14,1
Benin,Import,Fish,8577,4760,7872,10184,11235,15930,18794,24294,31851,27482,27322,32312,35186,38847,54557,61056
Botswana,Export,Crustaceans,8,8,1,5,6,0,0,6,3,8,3,0,0,0,0,46
Botswana,Export,Fish,26,53,64,44,26,80,42,10,19,271,131,192,458,504,215,631
Botswana,Import,Crustaceans,1197,725,320,225,207,87,137,192,135,170,163,326,85,126,242,292
Botswana,Import,Fish,8580,3410,3578,6309,6895,6821,6037,6732,8094,8987,12842,10765,13082,11426,13644,10879
Burkina Faso,Export,Fish,2,11,0,0,0,224,450,801,1159,1025,654,625,756,650,626,838
Burkina Faso,Import,Crustaceans,23,12,7,14,21,36,24,159,41,102,204,139,110,141,100,36
Burkina Faso,Import,Fish,1328,686,742,1124,1851,3816,4826,5594,6418,8606,8441,9536,10344,10414,11353,11071
Burundi,Export,Fish,132,183,163,137,162,173,214,228,207,226,184,217,180,320,324,215
Burundi,Import,Crustaceans,0,0,0,3,2,0,3,9,4,7,9,6,10,8,1,2
Burundi,Import,Fish,51,97,87,67,54,35,122,31,29,149,412,1241,2199,2469,2022,1712
Cabo Verde,Export,Crustaceans,243,4,332,403,766,388,464,385,22,431,438,903,1079,1262,262,159
Cabo Verde,Export,Fish,595,294,169,90,477,6771,10595,6624,8038,25013,36594,55147,43398,56967,67706,56636
Cabo Verde,Import,Crustaceans,35,37,42,92,97,168,217,282,433,316,315,561,530,721,816,605
Cabo Verde,Import,Fish,207,500,336,391,385,447,732,981,1789,1907,1404,2148,2381,2853,2644,2236
Cameroon,Export,Crustaceans,862,220,100,198,1,4,1,1,2,10,4,5,5,5,22,1
Cameroon,Export,Fish,76,145,29,113,50,97,896,1389,1355,2180,2855,1257,2404,2148,2582,1966
Cameroon,Import,Crustaceans,14,9,11,38,29,24,47,45,196,385,381,537,229,348,338,339
Cameroon,Import,Fish,27343,28552,23284,37269,44712,63251,76641,125716,176346,240923,185702,319592,247287,299051,303518,292535
